on_number,hawaiian_phrase,english_phrase,meaning_phrase,headword_link,source_link
2392,ʻŌʻili pulelo ke ahi o Kāmaile.,The fire of Kāmaile rises in triumph.,"Said of one who is victorious over obstacles, this is the first line of a chant composed for Kamehameha II. In olden days, firebrands hurled from the cliffʻs at Hāʻena, Kauaʻi, made a spectacular sight.",haw-k.htm#kamahele,ON-conc-k-full.htm
2393,ʻOiʻoi ʻo Maui Hikina.,East Maui forges ahead.,Those of East Maui are said to be very active and able to withstand anything.,haw-h.htm#hikina,ON-conc-h-full.htm
2394,"ʻO ka ʻaʻama holo pali pōhaku, e paʻa ana ia i ka ʻahele pulu niu.",The crab that runs about on a rocky cliff will surely be caught with a snare of coconut fibers.,He who goes where he tempts trouble is bound to suffer.,haw-a.htm#aama,ON-conc-a-full.htm
2395,"ʻO ka ʻai no ka ʻai, ʻo ka ʻiʻo kanaka ka iʻa.","Food is here to be eaten, with only human flesh for meat.","Said when there is nothing to eat with poi. There were once two boys of Kaʻū who won a riddling contest against a Kona man, the champion of the island of Hawaiʻi. In one riddle the boys claimed to be eating human flesh. The audience pondered this, since no meat was visible, and began to dispute the claim. Suddenly the boys popped wads of poi into their mouths and proceeded to lick their fingers — the “human flesh.”",,ON/ON-conc-0ai.htm
2396,"ʻO Kaʻaona ka pua i ka uahi o ka hoʻoilo, a ulu māhiehie.",In Kaʻaona [is used] the dart that has rested in the smoke during the rainy months until it acquires beauty.,"Said of the month Kaʻaona, when the young people bring out their darts for games. These darts had reddened in the smoke of the fireplaces during the wet months. With rubbing and polishing they acquired a beautiful sheen.",haw-k.htm#kaao,ON-conc-k-full.htm
2397,"ʻO Kaʻaōna ke kāne, ʻo Laʻioeoe ka wahine, hānau ke keiki, he keiki leʻa i ke oli.","Kaʻaōna is the husband, Laʻi-oeoe (Calm-prolonged-sound) the wife; a child born to them is a pleasing chanter.",A child born in the month of Kaʻaōna is blessed with a pleasant voice for speaking and chanting.,haw-k.htm#kaao,ON-conc-k-full.htm
2398,ʻO ka ʻaui aku nō koe o ka lā.,The sun will soon go down.,Said of an aged person.,haw-a.htm#aui,ON-conc-a-full.htm
2399,"ʻO Kāʻelo ka malama, kāpule ke kōlea.",Kāʻelo is the month when the breasts of the plovers darken.,This is the month when the plovers are fat and ready to fly on their migration to the north.,haw-k.htm#kaeleele,ON-conc-k-full.htm
2400,"ʻO Kāʻelo ka malama, pulu ke aho a ka lawaiʻa.",Kāʻelo is the month when the fisherman’s lines are wet.,Kāʻelo was a good time to do deep-sea fishing.,haw-k.htm#kaeleele,ON-conc-k-full.htm
2401,"ʻO Kāʻelo ke kāne, Pulukāʻelo ka wahine, hānau mai keiki kāpulu.","Kāʻelo is the husband, Pulu-kāʻelo (Well-drenched) the wife; children born to them are filthy.",Said of a filthy person. A play on ʻelo (soak). The month of Kāʻelo is rainy and muddy.,haw-k.htm#kaeleele,ON-conc-k-full.htm
2402,"ʻO ka hale e kū, ʻo ke kanaka e noho.","Where a house stands, there man dwells.",Said of a lucky person. It was believed that certain people’s bones brought them luck in fishing. When they died their bones were sought for the making of fishhooks.,,ON/ON-conc-0o.htm
2403,"ʻO ka hana ia a ka lawaiʻa iwi paoa, iho nō ka makau, piʻi nō ka iʻa.","That is the way of a fisherman with lucky bones — down goes his hook, up comes a fish.",Said of a lucky person. It was believed that certain people’s bones brought them luck in fishing. When they died their bones were sought for the making of fishhooks.,haw-m.htm#makau,ON-conc-m-full.htm
2404,"ʻO ka hāʻule nehe o ka lau lāʻau, he hāwanawana ia i ka poʻe ola.",The rustling of falling leaves is like a whisper to the living.,It is the living who appreciate such things.,haw-h.htm#hawanawana,ON-conc-h-full.htm
2405,ʻO ka hua o ke kōlea aia i Kahiki.,The egg of the plover is laid in a foreign land.,"The plover’s egg was never seen in Hawaiʻi. Said of a subject that no one knows anything about, or of something far away and impossible to reach.",,ON/ON-conc-0o.htm
2406,ʻO ka huhiā ʻino ka mea e ola ʻole ai.,Rage is a thing that does not produce life.,Said of lightning and thunder.,haw-h.htm#huhia,ON-conc-h-full.htm
2407,ʻO ka iʻa i kū kona waha i ka makau ʻaʻole ia e ʻapo hou ia mea.,The fish whose mouth has heen pierced by a hook will never again take another.,Said of one who avoids trouble after once being hurt.,haw-a.htm#apo,ON-conc-a-full.htm
2408,"ʻŌkaʻi ka ʻeʻa, ʻōkaʻi huakaʻi ʻula.",A moving cloud of dust; a reddish procession.,A great cloud of dust moving along warns of the advance of warriors.,haw-e.htm#ea,ON-conc-e-full.htm
2409,ʻO ka iki hāwaʻe ihola nō ia o Miloliʻi.,Here is the little sea urchin of Miloliʻi.,A boast. I am small but potent.,haw-h.htm#hawae,ON-conc-h-full.htm
2410,ʻO ka ʻīlio i paoa ka waha i ka hua moa ʻaʻole e pau ia hana iā ia.,A dog whose mouth likes the taste of eggs will not stop taking them.,Said of one who cannot be cured of a bad habit.,,ON/ON-conc-0a0ole.htm
2411,ʻO ka ʻīlio kahu nō ka ʻīlio hae.,The dog who has a master is the dog who barks the most.,Said of a person who resents any disparaging remarks about his chief.,haw-h.htm#hae,ON-conc-h-full.htm
2412,"ʻO ka lāʻau i hina, ʻaʻole ia e kū hou.",A fallen tree does not rise again.,Said of an old man who has lost his sexual potency.,,ON/ON-conc-0a0ole.htm
2413,"ʻO ka lāʻau o ke kula e noho ana i ka ʻāina, ʻo ka lāʻau o ka ʻāina e nalowale aku ana.",The trees of the plains will dwell on the land; the trees of the native land will vanish.,A prophecy uttered by Kalaunuiohua. Trees from the plains of other lands will grow here and our native trees will become extinct.,haw-n.htm#nalowale,ON-conc-n-full.htm
2414,ʻŌkala ka hulu o Hilo i ka wai.,The fur of Hilo bristles in the water.,Sexual passion is rising.,haw-o.htm#okai,ON-conc-o-full.htm
2415,"ʻŌkalakala heu pānini, ke piʻi nei koʻu maneʻo.",It is unpleasant here with fine cactus spines; I am beginning to itch.,A taunt when someone loses his temper.,haw-h.htm#heu,ON-conc-h-full.htm
2416,ʻŌkalakala nā hulu ʻauwae.,The hairs on his chin bristle.,Said of an angry person who raves and rants.,haw-a.htm#auwae,ON-conc-a-full.htm
2417,"ʻO ka lā ko luna, o ka pāhoehoe ko lalo.","The sun above, the smooth lava below.",Said of a journey in which the traveler suffers the heat of the sun above and the reflected heat from the lava bed helow.,haw-p.htm#pahoehoe,ON-conc-p-full.htm
2418,"ʻO Kalani ka ʻio o Lelepā, ka ʻālapa piʻi moʻo o Kū.","The heavenly one is the hawk of Lelepā, the warrior descendant of Kū.","Retort of a kahu when he overheard someone criticize his chief, Kamehameha, who was then only a young warrior. He used the name Lele-pā to imply that his chief could fly over any barrier.",haw-a.htm#alapa,ON-conc-a-full.htm
2419,"ʻO ka lani kēlā, ʻo ka lani kēia.",That one a chief this one a chief.,Said of two persons well matched for a contest.,haw-k.htm#kela,ON-conc-k-full.htm
2420,"ʻO ka liʻiliʻi pāʻā kōkea ia Kohala, e kole ai ko nuku.",It is the little white sugar stalk of Kohala that makes your mouth raw.,"Said by Pupukea when Makakuikalani made fun of his small size. The fine, hair-like growth on stalks of sugar cane can cause irritation.",haw-k.htm#kokea,ON-conc-k-full.htm
2421,"ʻO ka līlā maiʻa ia o ka ʻeʻa, ʻaʻole e pala i ke anahulu.",A tall banana in a mountain patch whose fruit does not open in ten days.,"A boast of his own height by Makakuikalani, chief of Maui, when Pupukea of Hawaiʻi made fun of his being so tall and thin.",haw-a.htm#anahulu,ON-conc-a-full.htm
2422,ʻO ka makani ke ala o ka ʻino.,Wind is the source of storms.,The wind drives the rain clouds that bring torrents and floods.,,ON/ON-conc-0ino.htm
2423,ʻO ka makapō wale nō ka mea hāpapa i ka pōuli.,ʻOnly the blind grope in darkness.,Said to one who gropes around instead of going directly to the object he is seeking.,haw-h.htm#hapapa,ON-conc-h-full.htm
2424,ʻO ka makua ke koʻo o ka hale e paʻa ai.,The parent is the support that holds the household together.,A weak leader.,haw-k.htm#koo,ON-conc-k-full.htm
2425,"ʻO ka manu ma luna, ʻo ia ma lalo.","The birds above, he below.",Said in admiration of one who travels with great speed — he equals the birds that fly in the sky.,,ON/ON-conc-0o.htm
2426,ʻO ka maoli maiʻa ʻono ia o ka ʻeʻa.,The tastiest banana of the patch.,"The finest, most attractive lad of the community.",haw-e.htm#ea,ON-conc-e-full.htm
2427,ʻO ka mea makaʻala ʻaʻohe lilo kona waiwai i ka ʻīlio.,He who watches does not lose his property to dogs.,ʻOne who watches his possessions will not lose them to thieves.,haw-m.htm#makaala,ON-conc-m-full.htm
2428,"ʻO ka mea ua hala, ua hala ia.",What is gone is gone.,There is no use in recalling hurts of the past.,,ON/ON-conc-0o.htm
2429,ʻO ka mea ukuhi kai ʻike i ka lepo o ka wai; o ka mea inu ʻaʻole ʻo ia i ʻike.,"He who dips knows how dirty the water is, but he who drinks does not.",He who does the work knows what trouble it takes; he who receives does not.,haw-i.htm#inu,ON-conc-i-full.htm
2430,ʻO ka mūheʻe ka iʻa holo lua.,The cuttlefish is the sea creature that travels two ways.,Said of a two-faced person.,haw-m.htm#muhee,ON-conc-m-full.htm
2431,"ʻO ka ʻOle ia, mai ʻOlekukāhi a ʻOlekupau.",It is the ʻOle nights from ʻOlekukāhi to ʻOlekupau.,"No. Absolutely not. A play on ʻole (nothing). ʻOlekukāhi, ʻOlekulua, ʻOlekukolu and ʻOlekupau are moon phases in the lunar month.",haw-o.htm#ole,ON-conc-o-full.htm
2432,"ʻO ka pā ʻai a ka iʻa, kuhi ka lima, leʻa ka hāʻawi.","With a pearl fishhook that the fish grasps, one can point with the hand and give with pleasure.",A good fishhook brings in enough food for the family and to give to relatives and friends.,haw-h.htm#haawi,ON-conc-h-full.htm
2433,"ʻO ka papa heʻe nalu kēia, paheʻe i ka nalu haʻi o Makaiwa.",This is the surfboard that will glide on the rolling surf of Makaiwa.,A woman’s boast. Her beautiful body is like the surf board on which her mate “glides over the rolling surf.”,haw-m.htm#makahinu,ON-conc-m-full.htm
2434,ʻO ka piʻi nō ia a Kōkī-o-Wailau.,Ascended to the topmost part of Wailau.,An expression of admiration for one who reaches the top in spite of difficulties. Kōkī-o-Wailau is a peak on Molokaʻi whose sides are steep and difficult to ascend.,haw-k.htm#koki,ON-conc-k-full.htm
2435,ʻO ka poʻe e ʻai ana i ka loaʻa o ka ʻāina he lohe ʻōlelo wale aʻe nō i ka ua o Hawaiʻi.,Those who eat of the product of the land merely hear of the rains in Hawaiʻi.,Said of absentee royal landlords who reap the gain but know nothing of the difficulties in the land where the toilers work.,,ON/ON-conc-0ai.htm
2436,ʻO ka poʻe hulilau ʻole o hope.,Those with no large gourd calabashes in the back.,Those with no wives at home.,haw-h.htm#hope,ON-conc-h-full.htm
2437,ʻO ka pono ke hana ʻia a iho mai nā lani.,Continue to do good until the heavens come down to you.,Blessings come to those who persist in doing good.,,ON/ON-conc-0o.htm
2438,ʻO ka pono o kahi aliʻi o ka mikimiki me ka ʻeleu.,The thing to do at the court of the chief is to do work and do it effciently.,Those who serve their chiefs must do their work quickly and well.,haw-e.htm#eleu,ON-conc-e-full.htm
2439,ʻO kapuahi aku ia a Uli.,That is Uli’s fireplace.,That is a place where a sorcerer may burn a personal possession of his chosen victim. Uli was a god to whom a sorcerer might appeal. This is a warning to watch out lest one run into sorcery.,haw-k.htm#kapuahi,ON-conc-k-full.htm
2440,"ʻO Kauaʻi nui moku lehua, ʻāina nui makekau.","Great Kauaʻi, isle of warriors and land of men ever on the defense.","Oʻahu was once inhabited by supernatural beings who ate people. They would extend their hospitality by day, but at night they would eat their sleeping guests. A canoe came from Kauaʻi one day, and among the passengers was a man who was distrustful of the Oahuans. When the other men went to sleep, he dug a hole under the wall, crept into it, pulled a mat over himself, and waited. Late at night he listened as the hosts came and ate his companions. After the evil beings were gone, he hurried to the canoe and sailed home. He told his friends, and together they made wooden images, hid them in the canoe, and sailed for Oʻahu, where they were welcomed. That night the images were put inside the house, while the men hid outside. When the hosts came around to eat the visitors, they bit into the hard wooden images. The Kauaʻi men burned the house, thus ending the evil on Oʻahu.",haw-k.htm#kaua,ON-conc-k-full.htm
2441,"ʻO kau aku, ʻo kā ia lā mai, pēlā ka nohona o ka ʻohana.",From you and from him — so lived the family.,"The farmer gave to the fisherman, the fisherman to the farmer.",haw-o.htm#ohana,ON-conc-o-full.htm
2442,ʻO ka uhiwai nō kai ʻike i ka ʻino o ka wai.,ʻOnly the mists know the storm that caused the streams to swell.,"How I would like that handsome fellow for a sweetheart. The uhu is a bright-colored fish, beautiful to look at, and tasty.",haw-u.htm#uhiwai,ON-conc-u-full.htm
2443,"ʻO Kaulua ka malama, ʻolo ka ʻōpū mālolo a ka lawaiʻa.",Kaulua is the month when the bag nets of the fishermen sag with flying fish.,Said of a person born in the month of Kaulua. He was likely to be a hard worker who carried large bundles on his back.,haw-k.htm#kaulua,ON-conc-k-full.htm
2444,"ʻO Kaulua ke kāne, ʻo Lanihua ka wahine, hānau ke keiki he kua leho.","Kaulua is the husband, Lani-hua (Productive-heaven) the wife; born to them is a child with calloused shoulders.",Said of a person born in the month of Kaulua. He was likely to be a hard worker who carried large bundles on his back.,haw-k.htm#kaulua,ON-conc-k-full.htm
2445,ʻO ka ʻulu iki mai kēia nāna e kaʻa i kahua loa.,This is the small maika stone that rolls over a long field.,"I am a small person who can accomplish much. When Lonoikamakahiki visited Kamalalawalu, ruling chief of Maui, he took along his half-brother Pupukea to serve him. Makakuikalani, half-brother and personal attendant of Kamalalawalu, made fun of the small stature of Pupukea. This saying was Pupukea’s retort.",haw-k.htm#kaa,ON-conc-k-full.htm
2446,"ʻO ka ʻulu o lalo he loaʻa i ka pinana, ʻo ka ʻulu o luna loa he loaʻa i ka lou.","A breadfruit that is low can he reached by climbing, but a breadfruit high above requires a stick to reach it.","A mate of low station is easy to fmd, but one of higher rank is less easily acquired.",haw-l.htm#lou,ON-conc-l-full.htm
2447,ʻO ka wai kau nō ia o Keʻanae; ʻo ka ʻūlei hoʻowali ʻuala ia o Kula.,It is the pool on the height of Keanae; it is the ʻūlei digging stick for the potato [patch] of Kula.,"A handsome young man of Kula and a beautiful young woman of Keʻanae, on Maui, were attracted to each other. She boasted of her own womanly perfection by referring to her body as the pool on the heights of Keʻanae. Not to be outdone, he looked down at himself and boasted of his manhood as the digging stick of Kula.",haw-h.htm#hoowali,ON-conc-h-full.htm
2448,ʻO ke aka kā ʻoukou ʻo ka ʻiʻo kā mākou.,Yours the shadow; ours the flesh.,"A phrase used in prayers dedicating a feast to the gods. The essence of the food was the gods’, and the meat was eaten by those present.",haw-a.htm#aka,ON-conc-a-full.htm
2449,ʻO ke alelo ka hoe uli o ka ʻōlelo a ka waha.,The tongue is the steering paddle of the words uttered by the mouth.,Advice to heed the tongue lest it speak words that offend.,haw-a.htm#alelo,ON-conc-a-full.htm
2450,"ʻO ke aliʻi ka mea ikaika, ʻaʻole ʻo ke kanaka.","It is the chief who is strong, not the commoner.",A commoner’s own work of planting and fishing is limited by his physical ability. A chief can command a multitude to carry out his projects.,haw-i.htm#ikaika,ON-conc-i-full.htm
2451,"ʻO ke aliʻi lilo i ka leʻaleʻa a mālama ʻole i ke kanaka me ke kapu akua, ʻaʻole ia he aliʻi e kū ai i ka moku.","The chief who is taken with pleasure-seeking and cares not for the welfare of the people or the observation of the kapu of the gods, is not the chief who will become a ruler.",Said by Kekūhaupiʻo to Kamehameha. Advice to young people that success comes not by seeking idle pleasure but by living up to one’s beliefs and caring for the welfare of others.,haw-l.htm#lealea,ON-conc-l-full.htm
2452,ʻO ke aliʻi wale nō kaʻu makemake.,My desire is only for the chief.,"An expression of loyalty and affection for one’s chief, used in chants of praise.",haw-k.htm#kau,ON-conc-k-full.htm
2453,ʻO ke aloha ke kuleana o kahi malihini.,Love is the host in strange lands.,"In old Hawaiʻi, every passerby was greeted and offered food whether he was an acquaintance or a total stranger.",haw-k.htm#kuleana,ON-conc-k-full.htm
2454,"ʻO ke aloha o ke ipo, he wela ia nō ke kino.",The love of a sweetheart is like a hot fire within the body.,No child can get along without adult supervision.,haw-i.htm#ipo,ON-conc-i-full.htm
2455,"ʻO ke ao aku nō hoʻi koe, ʻaina ʻē ka hāuliuli.",It was almost day when the hāuliuli fish began to take the bait.,One was just about giving up hope when the person he was angling for showed some response.,haw-a.htm#aina,ON-conc-a-full.htm
2456,Ōkea pili mai.,Clinging sand. [drift gravel],"Said of a shiftless hanger-on. [said disparagingly of persons who attach themselves to others for support; parasite. Lit., gravel clinging (PE)]",haw-o.htm#okea,ON-conc-o-full.htm
2457,ʻO ke ʻehu kakahiaka nō ka wā loaʻa.,The time to catch anything is in the early morning.,"When you want to do something, don’t wait. Get at it as early as possible.",haw-k.htm#kakahiaka,ON-conc-k-full.htm
2458,ʻO kēia ʻuʻuku e nui ana.,This smallness will be big later.,"Said of a small child who will grow into adulthood, a small place that may develop into a large one, and so forth.",haw-u.htm#uuku,ON-conc-u-full.htm
2459,"ʻO ke kahua ma mua, ma hope ke kūkulu.","The site first, and then the building.","Learn all you can, then practice.",haw-h.htm#hope,ON-conc-h-full.htm
2460,ʻO ke kāne kēlā uē waimaka.,"If that is the husband [of your choice], there will he much crying [with unhappiness].",Said sarcastically to a person who boasts of his greatness.,haw-k.htm#kela,ON-conc-k-full.htm
2461,"ʻO ke keiki he loaʻa i ka moe, ʻo ka pōkiʻi ʻaʻole.","One can produce a child by sleeping with a mate, but he cannot produce a younger brother or sister.","Great affection between brothers and sisters, and especially for younger siblings, was not rare in olden days. This saying is a reminder to treat younger ones with love and respect.",haw-p.htm#pokii,ON-conc-p-full.htm
2462,ʻO ke kū hale wale iho nō i Makanoni.,Only the house stands there at Makanoni.,Said of a house from which the inhabitants are gone.,haw-m.htm#makani,ON-conc-m-full.htm
2463,"ʻO ke kū hoe akamai nō ia, he piʻipiʻi kai ʻole ma ka ʻaoʻao.",That is the way of a skilled paddler — the sea does not wash in on the sides.,Said of a deft lover.,haw-a.htm#akamai,ON-conc-a-full.htm
2464,"ʻO ke kumu, o ka māna, hoʻopuka ʻia.","The teacher, the pupil — let it come forth.",A challenge from a pupil to the teacher who trained him in warfare or sports — “Now let the teacher and pupil vie against each other.”,haw-h.htm#hoopuka,ON-conc-h-full.htm
2465,ʻOki kilohana ka pali o Waialoha.,Straight and tall is the cliff of Waialoha.,"Said in admiration of a tall, well-formed person.",haw-k.htm#kilohana,ON-conc-k-full.htm
2466,ʻOki loa ka ihu kau ʻia e ka nalo.,It is worse to have a fly sit on the nose,A young woman from Kaʻū was teased about being carried ashore by a sailor who found it hard to resist kissing her. This was her laughing reply — there are worse things than being kissed.,haw-o.htm#oki,ON-conc-o-full.htm
2467,"ʻO Kilohana ia, he ʻaweʻawe moku.",That is the Kilohana of the broken bundle cords.,"Said of Kilohana above Līhuʻe on Kauaʻi. An old trail went by here, leading from Kona to Koʻolau. Robbers hid there and waylaid lone travelers or those in small companies and robbed them of their bundles.",haw-a.htm#aweawe,ON-conc-a-full.htm
2468,ʻOki pau ka hana i ke one kani o Nohili.,Strange indeed are the activities at the sounding sands of Nohili.,"Barking Sands beach of Nohili, Kauaʻi, was believed to be the haunt of ghosts. Said of a person whose behavior is peculiar.",haw-n.htm#noenoe,ON-conc-n-full.htm
2469,ʻO ko Kona mau nō ia ʻo ka laʻi.,Calm is typical of Kona.,Said of a Kona person who is always poised and calm.,,ON/ON-conc-0o.htm
2470,ʻOkole kāmano.,Salmon backside.,A vulgar expression for a white person whose backside is pink. Also expressed Kāmano ʻula (Red salmon).,haw-k.htm#kamano,ON-conc-k-full.htm
2471,ʻO Kona i ka paka ʻona — ke haʻu iho ʻoe kūnewanewa.,Kona of the potent tohacco — a draw would make one stagger.,Kona is said to be a land of potent lovemaking.,haw-h.htm#hau,ON-conc-h-full.htm
2472,ʻO Kuaʻana ka nalu; ʻo Paiahaʻa ka ʻāina.,Kuaʻana is the surf; Paiahaʻa the land.,"Proud were the people of Kaʻū of the surf of Kuaʻana, where chiefs used to ride the waves to the shore of Paiaha’a.",haw-k.htm#kuaaina,ON-conc-k-full.htm
2473,ʻO Kula i ka hoe hewa.,Kula of the ignorant canoe-paddlers.,"Said of Kula, Maui, whose people did not know how to paddle canoes because they were uplanders.",,ON/ON-conc-0o.htm
2474,"ʻO Kulu ka pō, o Welehu ka malama, he lā iʻa ʻole.",Kulu is the night and Welehu the month; no fish is to be found that day.,"A play on kulu (drop). Welehu was said to be the month on which to lay the head on the pillow, for the sea was too rough for fishing. Hence an unlucky, unprofitable day.",haw-k.htm#kulu,ON-conc-k-full.htm
2475,"""O kū, o kā,"" ʻo Wahineʻomaʻo.","“Kū and kā,” says Wahineʻomaʻo.","While walking toward Hilo one day, Hiʻiaka met Wahineʻomaʻo shivering by the roadside with a pig in her arms — a gift for Pele. Hiʻiaka suggested that she start walking to Kīlauea chanting, “O kū! O kā!” Before long Wahineʻomaʻo had reached the volcano, given her offering, and returned to meet Hiʻiaka, whom she followed on the long journey to Kauaʻi. “O kū! ʻO kā!” cannot be translated. However, any work done hurriedly might be referred to this way, meaning “with a lick and a promise.”",haw-w.htm#wahine,ON-conc-w-full.htm
2476,"ʻO kuʻu wahi ōpū weuweu lā, nou ia.",Let my little clump of grass be yours.,A humble way of offering the use of one’s grass house to a friend.,haw-n.htm#nou,ON-conc-n-full.htm
2477,Ola a kau kō kea.,Lives till the sugar cane tassels.,Said of one who lives until his hair whitens with age.,haw-k.htm#kea,ON-conc-k-full.htm
2478,"Ola akula ka ʻāina kaha, ua pua ka lehua i kai.",Life has come to the kaha lands for the lehua blooms are seen at sea.,"“Kaha lands” refers to Kekaha, Kona, Hawaiʻi. When the season for deep-sea fishing arrived, the canoes of the expert fishermen were seen going and coming.",,ON/ON-conc-i.htm
2479,Ola ia kini ke ʻā maila ke ahi.,The multitude finds life at last; the fire is lighted.,It was later used as an expression of gladness that the fire is lighted and the food on the way.,haw-k.htm#kini,ON-conc-k-full.htm
2480,Ola i ka ʻai uahi ʻole o ke kini o Mānā.,The inhahitants of Mānā live on food cooked without smoking.,"Said of the people of Mānā, Kauaʻi, who in ancient days did very little poi-making, except in a place like Kolo, where taro was grown. The majority of the inhabitants were fishermen and gourd cultivators whose products were traded with other inhabitants of the island, even as far as Kalalau. Because all the taro cooking and poi-making was done elsewhere, the people of Mānā were said to live on “smokeless food.”",,ON/ON-conc-0ai.htm
2481,ʻOla i ka ʻōhulu.,There is subsistence in the sprouting tubers.,Said when there is a poor growth of sweet potatoes during an excessively warm summer. The broken pieces of potato sprouting among the weeds produces the few potatoes that feed the farmer and his family until a new crop is started.,haw-o.htm#ohulu,ON-conc-o-full.htm
2482,ʻOla i ka wai a ka ʻōpua.,There is life in the water from the clouds.,Rain gives life.,haw-o.htm#ola,ON-conc-o-full.htm
2483,ʻOla i ke ahe lau makani.,There is life in a gentle breath of wind.,Said when a warm day is relieved by a breeze.,haw-a.htm#ahe,ON-conc-a-full.htm
2484,Ola ka inoa.,The name lives.,"Said when the name of a beloved, deceased relative is given to a child.",haw-i.htm#inoa,ON-conc-i-full.htm
2485,Ola ka makapehu.,The swollen-eyed ones are healed.,Said of those who are lacking food and then receive an abundance of it.,haw-m.htm#makapehu,ON-conc-m-full.htm
2486,Ola ke awa o Kou i ka ua Waʻahila.,Life comes to the harbor of Kou because of the Waʻahila rain.,It is the rain of Nuʻuanu that gives water to Kou (now central Honolulu).,haw-k.htm#kou,ON-conc-k-full.htm
2487,Ola nā ʻilima wai ʻole i ke ao ʻōpua.,Healed are the ʻilima of waterless places by the rain cloud.,"The ʻilima blossom is one of the first medicines given to babies. It is a mild laxative. Hiʻiaka, goddess of medicine in Pele’s family, used ʻilima in some of her healings.",haw-i.htm#ilima,ON-conc-i-full.htm
2488,Ola nā iwi.,The bones live.,Said of a respected oldster who is well cared for by his family.,,ON/ON-conc-na1.htm
2489,Ola nō i ka pua o ka ʻilima.,There is healing in the ʻilima blossoms.,"The ʻilima blossom is one of the first medicines given to babies. It is a mild laxative. Hiʻiaka, goddess of medicine in Pele’s family, used ʻilima in some of her healings.",haw-i.htm#ilima,ON-conc-i-full.htm
2490,ʻOla nō ka lawaiʻa i kahi poʻo maunu.,A fisherman can subsist on his left-over bait.,"Bait made from octopus heart was carefully prepared and kept in a clean container. When a fisherman had no luck in fishing, the bait was eaten with poi.",haw-o.htm#ola,ON-conc-o-full.htm
2491,ʻOla nō ka mahiʻai i kahi kūʻōʻō.,"A farmer can subsist on small, broken potatoes.","As long as there are potatoes, even small or broken ones, a farmer gets along.",haw-k.htm#kuoo,ON-conc-k-full.htm
2492,"ʻOla nō ka mea akua, make nō ka mea akua ʻole.","He who has a god lives; he who has none, dies.",A god was regarded as a helper and protector of his devotee.,haw-o.htm#ola,ON-conc-o-full.htm
2493,"ʻŌlapa ka hoe a ka lawaiʻa, he ʻino.",Diffcult to handle is the paddle of the fisherman in a storm.,Said of one struggling against a difficult situation. First uttered by Pele in a chant about the winds of Kauaʻi.,haw-o.htm#olapa,ON-conc-o-full.htm
2494,ʻŌlapa ke ahi o ka lewa.,The fire of the sky flashes.,Lightning.,haw-o.htm#olapa,ON-conc-o-full.htm
2495,ʻOla Waiʻanae i ka makani Kaiaulu.,Waiʻanae is made comfortahle by the Kaiaulu breeze.,"Chanted by Hiʻiaka at Kaʻena, Oʻahu, after her return from Kauaʻi.",haw-k.htm#kaiao,ON-conc-k-full.htm
2496,ʻŌlelo i ke aka ka hele hoʻokahi.,One who travels alone has but his shadow to talk to.,Said by Hiʻiaka as she was leaving Kīlauea on her quest for Lohiʻau.,haw-a.htm#aka,ON-conc-a-full.htm
2497,"ʻŌlelo ka waha, holehole ka lima.","The mouth talks, the hand strips.",Said of one who says friendly words yet does unfriendly deeds.,haw-h.htm#holehole,ON-conc-h-full.htm
2498,ʻŌlelo ke kupa o ka ʻāina ua mālie; ua au koaʻe.,The natives of the land declare that the weather is calm when the tropic bird travels afar.,The kūpala is a wild plant whose tubers were eaten in time of famine. It grew on Kahoʻolawe.,haw-k.htm#kupa,ON-conc-k-full.htm
2499,ʻŌlemu kaʻa.,Rolling buttocks.,A term of contempt for a vagabond.,haw-k.htm#kaa,ON-conc-k-full.htm
2500,ʻOlo hewa ka pihe.,Shouted at the wrong time.,Bragged too soon.,haw-o.htm#olo,ON-conc-o-full.htm
2501,"ʻOloʻolo aku nō i hope, kū i ke aʻu.",Linger behind and he jabbed by the swordfish.,Better to advance with one’s companions than to stay behind and get into trouble.,haw-a.htm#au,ON-conc-a-full.htm
2502,Olowalu ihu pāpaʻa.,Crusty-nosed Olowalu.,"Disparaging expression for the people of Olowalu, Maui, where the wind is said to blow into the nostrils, drying the mucus into crust.",haw-o.htm#olowalu,ON-conc-o-full.htm
2503,Olowalu ka moa.,Roosters all crowing.,Much talk.,haw-o.htm#olowalu,ON-conc-o-full.htm
2504,"ʻO luna, ʻo lalo; ʻo kai,ʻo uka — ʻo ka hao pae ko ke aliʻi ia.","Above, below; seaward, inland — the iron that washes ashore belongs to the chief.",Said by Kamehameha. All iron that was found belonged to him.,haw-k.htm#kaio,ON-conc-k-full.htm
2505,"ʻO luna, ʻo lalo; ʻo uka, ʻo kai; ʻo ka palaoa pae, no ke aliʻi ia.","Above, helow; the upland, the lowland; the whale that washes ashore — all belong to the chief.",The chief owned everything in the land he ruled. Ivory obtained from the teeth of whales that washed ashore was very valuable.,haw-p.htm#palaoa,ON-conc-p-full.htm
2506,"ʻO Mahoehope ke kāne, ʻo Lanihua ka wahine, hānau ke keiki he kōkua nui a waiū nunui.","Mahoehope is the husband, Lanihua (Productive-heavenly-one) is the wife; a child born to them is either thick-shouldered or large-busted.","Said of a child born in the month of Mahoehope. If a boy, he would be strong-shouldered and able to do much work; if a girl, she would be large of breast.",haw-k.htm#kokua,ON-conc-k-full.htm
